# RBER, SIGMA, SIGMA1, SIGMA2, CAPACITY, T0, LLR0, LLR1
9.917000000000000814e-02 1.634184801442278401e+00 1.143929361009594858e+00 4.902554404326834869e-01 0.000000000000000000e+00 1.845204372707799079e-01 2.871308822341631650e+00 -1.846329733992967848e+00
1.006650000000000045e-01 1.646184830752310813e+00 1.152329381526617569e+00 4.938554492256932438e-01 0.000000000000000000e+00 1.816179728488548917e-01 2.855554438629069214e+00 -1.830069873724353258e+00
1.021600000000000008e-01 1.658236982638112256e+00 1.160765887846678446e+00 4.974710947914336434e-01 0.000000000000000000e+00 1.786882709750048648e-01 2.840015360903389130e+00 -1.814033055445210874e+00
1.036549999999999971e-01 1.670343277519592995e+00 1.169240294263715008e+00 5.011029832558778763e-01 0.000000000000000000e+00 1.757307484056930824e-01 2.824685315176233225e+00 -1.798212828383970452e+00
1.051500000000000073e-01 1.682505727132410200e+00 1.177754008992687007e+00 5.047517181397230823e-01 0.000000000000000000e+00 1.727448156631946896e-01 2.809558298009115607e+00 -1.782603019316511883e+00
1.066450000000000037e-01 1.694726336814080581e+00 1.186308435769856340e+00 5.084179010442241298e-01 0.000000000000000000e+00 1.697298765865107861e-01 2.794628561218770013e+00 -1.767197716911300454e+00
1.081400000000000000e-01 1.707007107695679649e+00 1.194904975386975599e+00 5.121021323087038279e-01 0.000000000000000000e+00 1.666853278876239131e-01 2.779890597648273509e+00 -1.751991257163880933e+00
1.096349999999999963e-01 1.719350038808581171e+00 1.203545027166006642e+00 5.158050116425743070e-01 0.000000000000000000e+00 1.636105587118001081e-01 2.765339127916147000e+00 -1.736978209831026465e+00
1.111300000000000066e-01 1.731757129114919191e+00 1.212229990380443434e+00 5.195271387344757574e-01 0.000000000000000000e+00 1.605049502007322160e-01 2.750969088063817569e+00 -1.722153365783314793e+00
1.126250000000000029e-01 1.744230379469752013e+00 1.220961265628826231e+00 5.232691138409255593e-01 0.000000000000000000e+00 1.573678750573899998e-01 2.736775618029381629e+00 -1.707511725202526032e+00
1.141199999999999992e-01 1.756771794522298036e+00 1.229740256165608558e+00 5.270315383566893663e-01 0.000000000000000000e+00 1.541986971114979732e-01 2.722754050882231436e+00 -1.693048486557027887e+00
1.156149999999999956e-01 1.769383384563043338e+00 1.238568369194130270e+00 5.308150153689129569e-01 0.000000000000000000e+00 1.509967708846295109e-01 2.708899902759043687e+00 -1.678759036294407592e+00
1.171100000000000058e-01 1.782067167323037937e+00 1.247447017126126489e+00 5.346201501969113368e-01 0.000000000000000000e+00 1.477614411539366346e-01 2.695208863447062342e+00 -1.664638939196094292e+00
1.186050000000000021e-01 1.794825169731251169e+00 1.256377618811875818e+00 5.384475509193753506e-01 0.000000000000000000e+00 1.444920425135914344e-01 2.681676787565317799e+00 -1.650683929343581546e+00
1.200999999999999984e-01 1.807659429635470216e+00 1.265361600744829174e+00 5.422978288906410427e-01 0.000000000000000000e+00 1.411878989330355161e-01 2.668299686298822859e+00 -1.636889901650306456e+00
1.215950000000000086e-01 1.820571997491859717e+00 1.274400398244301735e+00 5.461715992475578707e-01 0.000000000000000000e+00 1.378483233111735540e-01 2.655073719644662766e+00 -1.623252903917210332e+00
1.230900000000000050e-01 1.833564938027992808e+00 1.283495456619594854e+00 5.500694814083978423e-01 0.000000000000000000e+00 1.344726170256690112e-01 2.641995189132409383e+00 -1.609769129373601393e+00
